beta,tau,mcrit,m_front,width,finite,valid,tau_onset,delta_tau_from_onset,abs_offset
1.0,1.6,-1.255,-2.0832307238562326,0.5252767776576226,True,False,0.15000000000000002,1.4500000000000002,0.8282307238562328
1.0,1.6500000000000001,-1.3200000000000003,-2.1420390563308556,0.52632194604852,True,False,0.15000000000000002,1.5,0.8220390563308553
1.0,1.7000000000000002,-1.3849999999999998,-2.1992033364478427,0.5296014581233456,True,False,0.15000000000000002,1.5500000000000003,0.8142033364478429
1.0,1.75,-1.4500000000000002,-2.2578204774015163,0.5335779591806133,True,False,0.15000000000000002,1.6,0.8078204774015161
1.0,1.8,-1.5149999999999997,-2.3182528976039074,0.538406515653021,True,False,0.15000000000000002,1.65,0.8032528976039077
1.0,1.85,-1.6449999999999996,-2.3839839397681084,0.5492634279329793,True,False,0.15000000000000002,1.7000000000000002,0.7389839397681088
1.0,1.9000000000000001,-1.71,-2.4478777540021617,0.5560506754479001,True,False,0.15000000000000002,1.75,0.7378777540021617
1.0,1.9500000000000002,-1.7749999999999995,-2.513917260441341,0.5631561581552136,True,False,0.15000000000000002,1.8000000000000003,0.7389172604413417
1.0,2.0,-1.8399999999999999,-2.583412958114898,0.5695051560896176,True,True,0.15000000000000002,1.85,0.7434129581148983
1.0,2.0500000000000003,-1.9699999999999998,-2.6539048226048,0.5854050141275257,True,True,0.15000000000000002,1.9000000000000004,0.6839048226048003
1.0,2.1,-2.0349999999999997,-2.7264676562459824,0.5955026971111909,True,True,0.15000000000000002,1.9500000000000002,0.6914676562459827
1.0,2.15,-2.165,-2.8017351100649472,0.6149765771407726,True,True,0.15000000000000002,2.0,0.6367351100649472
1.0,2.2,-2.295,-2.8778556951202994,0.6385736190119535,True,True,0.15000000000000002,2.0500000000000003,0.5828556951202994
1.0,2.25,-2.36,-2.9598784934361646,0.6547673099888477,True,True,0.15000000000000002,2.1,0.5998784934361647
1.0,2.3000000000000003,-2.4899999999999998,-3.042951036019125,0.683343115814177,True,True,0.15000000000000002,2.1500000000000004,0.5529510360191252
1.0,2.35,-2.62,-3.1296545833090583,0.7158409317363854,True,True,0.15000000000000002,2.2,0.5096545833090582
1.0,2.4000000000000004,-2.75,-3.2233476637829526,0.7497480159309996,True,True,0.15000000000000002,2.2500000000000004,0.47334766378295257
1.0,2.45,-2.88,-3.325405606805803,0.784349176051914,True,True,0.15000000000000002,2.3000000000000003,0.445405606805803
1.0,2.5,-3.0749999999999997,-3.4298139247205515,0.8312263265812997,True,True,0.15000000000000002,2.35,0.35481392472055173
1.0,2.5500000000000003,-3.205,-3.5502799889104946,0.8669839387732095,True,True,0.15000000000000002,2.4000000000000004,0.3452799889104945
1.0,2.6,-3.4,-3.6738778669829526,0.9101464198897201,True,True,0.15000000000000002,2.45,0.2738778669829527
1.0,2.6500000000000004,-3.53,-3.7960240409827293,0.9117788044101692,True,True,0.15000000000000002,2.5000000000000004,0.26602404098272947
1.0,2.7,-3.725,-3.9186982474298144,0.9062592144077043,True,True,0.15000000000000002,2.5500000000000003,0.19369824742981434
1.0,2.75,-3.92,-4.049302595687388,0.8963095748625061,True,True,0.15000000000000002,2.6,0.12930259568738833
1.0,2.8000000000000003,-4.115,-4.176392365419033,0.8795088914571183,True,True,0.15000000000000002,2.6500000000000004,0.06139236541903248
1.0,2.85,-4.3100000000000005,-4.295098265142058,0.8551611221364543,True,True,0.15000000000000002,2.7,0.01490173485794255
1.0,2.9000000000000004,-4.57,-4.397996328057245,0.7789092278893317,True,True,0.15000000000000002,2.7500000000000004,0.1720036719427549
1.0,2.95,-4.765,-4.494207507987617,0.7191583269265325,True,True,0.15000000000000002,2.8000000000000003,0.270792492012383
1.0,3.0,-5.025,-4.580662171473865,0.6530698884287987,True,True,0.15000000000000002,2.85,0.4443378285261357
2.0,0.0,-0.34499999999999975,,,False,False,0.15000000000000002,-0.15000000000000002,
2.0,0.05,-0.41000000000000014,,,False,False,0.15000000000000002,-0.10000000000000002,
2.0,0.1,-0.41000000000000014,,,False,False,0.15000000000000002,-0.05000000000000002,
2.0,0.15000000000000002,-0.41000000000000014,-1.1073825097153909,0.4015169404176146,True,False,0.15000000000000002,0.0,0.6973825097153907
2.0,0.2,-0.41000000000000014,-1.1171739888028718,0.3870247961494166,True,False,0.15000000000000002,0.04999999999999999,0.7071739888028716
2.0,0.25,-0.41000000000000014,-1.1291203197855444,0.3730370911039145,True,False,0.15000000000000002,0.09999999999999998,0.7191203197855442
2.0,0.30000000000000004,-0.47499999999999964,-1.1476115298151721,0.36607121510170976,True,False,0.15000000000000002,0.15000000000000002,0.6726115298151725
2.0,0.35000000000000003,-0.47499999999999964,-1.1613643651566607,0.35348292146628174,True,False,0.15000000000000002,0.2,0.6863643651566611
2.0,0.4,-0.47499999999999964,-1.1752183124015816,0.3415207259956943,True,False,0.15000000000000002,0.25,0.7002183124015819
2.0,0.45,-0.47499999999999964,-1.1888817761394317,0.3300172404793225,True,False,0.15000000000000002,0.3,0.713881776139432
2.0,0.5,-0.54,-1.2101146596653092,0.3225608024852144,True,False,0.15000000000000002,0.35,0.6701146596653091
2.0,0.55,-0.54,-1.2225820689044928,0.31137616548469005,True,False,0.15000000000000002,0.4,0.6825820689044928
2.0,0.6000000000000001,-0.54,-1.2346203290604136,0.3003932710582161,True,False,0.15000000000000002,0.45000000000000007,0.6946203290604136
